ID,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,engine_load_value,heart_rate,current_weather,visibility,precipitation,accidents_onsite,design_speed,accidents_time
1662,15,43.0,1559.0,-0.5,22.7,95,17.6,68,7,6.4,1.5,7.99999999999998,60,0
13441,15,49.0,1790.0,0.13,15.7,91,21.6,102,18,3.2,0.0,25.0,60,1
4950,16,80.0,2860.0,0.85,82.0,95,26.3,64,6,16.1,1.3,51.0,90,1
5499,14,83.0,2408.0,0.0,74.5,98,79.6,73,7,16.1,0.0,28.0,70,2
7429,14,29.0,2415.0,-1.0,27.1,99,18.8,77,5,16.1,0.0,47.0,70,3
14203,16,38.0,1821.0,0.44,65.9,93,88.2,100,7,8.0,8.0,7.99999999999998,70,1
8893,15,55.0,2794.0,0.3,27.8,88,17.3,74,7,16.1,0.0,13.0,70,0
10844,16,56.0,2376.0,-0.16,24.7,98,20.8,72,5,16.1,0.0,32.0,50,5
14674,16,74.0,2664.0,0.13,20.0,92,36.5,98,7,8.0,8.0,12.0,90,0
9368,15,38.0,1917.0,-0.5,25.1,99,18.8,70,5,16.1,0.0,46.0,70,4
20398,20,100.0,2888.0,-0.19,81.2,91,91.4,79,7,8.0,0.0,15.0,70,2
14929,16,91.0,2620.0,0.44,31.8,94,81.6,102,7,8.0,8.0,2.99999999999999,90,0
6001,14,40.0,1454.0,-1.63,22.7,101,17.6,73,5,16.1,0.0,88.0,50,5
2032,15,87.0,2511.0,-0.5,27.1,95,26.3,66,9,8.0,2.4,2.99999999999999,70,0
17183,19,62.0,2236.0,0.53,78.0,93,93.3,85,7,6.4,4.8,92.0,70,6
234,15,86.0,2577.0,-0.53,76.1,90,82.0,63,9,16.1,2.4,15.0,90,0
15189,16,58.0,1657.0,0.25,49.0,92,83.5,105,7,8.0,8.0,54.0,50,2
19533,19,63.0,2341.0,-0.75,84.3,94,92.2,81,7,6.4,4.8,126.0,90,7
20041,19,99.0,2857.0,0.23,65.9,91,89.8,81,7,5.6,9.6,3.99999999999998,70,0
130,15,94.0,2689.0,0.41,82.0,102,80.0,69,9,16.1,2.4,12.0,70,0
10769,15,42.0,2175.0,0.18,38.0,94,70.2,73,5,16.1,0.0,120.0,70,3
12236,15,97.0,2780.0,0.54,20.4,92,29.8,101,18,3.2,0.0,13.0,90,0
8024,15,0.0,897.0,0.0,21.6,93,22.7,65,7,16.1,0.0,26.0,70,3
5038,16,92.0,2642.0,0.29,27.8,95,26.3,65,6,16.1,4.7,54.0,90,2
10623,15,37.0,1923.0,-0.62,25.1,101,18.4,71,5,16.1,0.0,36.0,70,2
22233,14,5.0,794.0,-1.18,21.2,101,23.5,73,5,16.1,0.0,87.0,70,7
21547,15,105.0,3018.0,0.0,18.0,91,25.1,113,18,3.2,8.0,87.0,80,1
9203,15,33.0,2733.0,1.32,81.2,96,60.0,74,5,16.1,0.0,54.0,70,1
9745,15,34.0,1768.0,-0.26,24.3,96,18.8,72,5,16.1,0.0,63.0,70,3
17748,19,58.0,2777.0,-0.23,17.6,94,23.5,88,7,6.4,0.0,14.0,90,1
20751,20,28.0,2026.0,1.91,70.6,91,90.6,85,18,8.0,0.0,72.0,80,0
3654,16,63.0,1810.0,-0.27,24.3,95,26.3,61,6,16.1,4.7,68.0,70,1
7906,15,0.0,901.0,0.0,22.4,97,25.5,74,5,16.1,0.0,26.0,70,1
8319,15,0.0,907.0,0.0,21.6,102,22.7,72,7,16.1,0.0,63.0,70,5
15206,16,66.0,1873.0,-0.14,40.4,93,89.4,97,7,8.0,8.0,15.0,50,1
19248,19,68.0,1987.0,-0.89,16.1,94,23.1,81,7,6.4,4.8,12.0,90,0
4287,16,6.99999999999999,1275.0,-0.47,21.6,95,26.3,60,6,16.1,4.7,20.0,90,1
1894,15,83.0,2378.0,0.25,26.3,95,26.3,70,9,16.1,2.4,8.99999999999999,70,0
21261,15,31.0,1135.0,-0.76,20.4,100,17.6,79,5,16.1,0.0,48.0,70,5
5864,14,80.0,2312.0,0.0,25.9,94,16.5,78,5,16.1,0.0,23.0,90,1
19356,19,64.0,2379.0,-0.7,16.5,94,22.0,79,7,6.4,4.8,47.0,90,0
9990,15,32.0,1636.0,0.36,77.3,95,72.2,69,5,16.1,0.0,40.0,70,3
5783,14,85.0,3065.0,0.0,41.2,90,65.5,75,5,16.1,0.0,9.99999999999998,70,0
9698,15,39.0,1990.0,-0.38,25.5,96,18.4,76,5,16.1,0.0,23.0,70,2
5581,14,87.0,3125.0,0.24,82.0,96,86.3,74,7,16.1,0.0,18.0,90,1
6950,14,39.0,2001.0,0.0,25.5,96,23.5,72,5,16.1,0.0,57.0,70,5
2128,15,58.0,2937.0,0.49,82.0,95,26.3,68,9,8.0,2.4,3.99999999999998,80,0
20470,20,82.0,2432.0,0.14,20.0,91,72.5,84,18,8.0,0.0,14.0,80,0
10776,15,24.0,1204.0,-1.38,22.4,91,19.6,70,5,16.1,0.0,118.0,50,3
839,15,69.0,2481.0,0.0,27.5,99,18.4,69,9,8.0,2.4,14.0,60,2
632,15,72.0,2067.0,-0.51,25.9,85,18.8,61,9,16.1,2.4,8.99999999999999,70,0
18088,19,45.0,2139.0,0.44,35.7,95,91.0,83,7,6.4,0.0,1.99999999999998,70,0
1526,15,79.0,2861.0,-1.01,27.8,85,16.5,69,6,16.1,0.299999999999998,8.99999999999999,70,0
7506,14,26.0,1346.0,-0.26,79.2,99,74.5,72,5,9.7,0.0,73.0,70,4
11394,16,0.0,1130.0,-0.24,31.0,99,49.0,67,6,16.1,0.0,27.0,70,1
1971,15,56.0,2032.0,0.26,82.0,95,26.3,65,6,16.1,0.299999999999998,7.99999999999998,80,1
3521,16,78.0,2262.0,-0.48,36.1,95,26.3,67,6,16.1,4.7,29.0,90,0
9738,15,33.0,2703.0,1.6,82.0,96,80.0,73,5,16.1,0.0,66.0,70,3
18507,19,32.0,2459.0,0.19,84.3,92,92.5,85,7,6.4,0.0,3.99999999999998,90,0
3855,16,54.0,1979.0,-1.01,25.1,95,26.3,66,6,16.1,4.7,30.0,90,0
4941,16,36.0,1824.0,1.13,82.0,95,26.3,64,6,16.1,1.3,15.0,90,0
2288,15,59.0,2144.0,0.25,82.0,95,26.3,71,9,8.0,2.4,5.99999999999998,90,2
12604,15,76.0,2777.0,-0.3,19.6,94,32.9,102,18,3.2,8.0,0.999999999999988,80,0
15463,16,44.0,2116.0,-0.14,16.1,92,20.0,100,7,8.0,24.0,21.0,70,0
8587,15,6.99999999999999,1359.0,-0.15,33.3,101,43.9,77,7,16.1,0.0,121.0,70,0
6880,14,30.0,2503.0,0.75,32.5,100,37.3,78,5,16.1,0.0,49.0,70,3
9257,15,38.0,1995.0,0.24,44.3,97,74.1,84,5,16.1,0.0,59.0,70,2
16589,16,0.0,672.0,0.0,12.5,95,23.9,98,7,8.0,8.0,8.99999999999999,70,1
16449,16,0.0,667.0,0.0,12.9,94,29.4,83,7,8.0,8.0,12.0,70,2
14395,16,3.99999999999999,996.0,-0.27,13.7,95,25.9,97,7,8.0,8.0,12.0,70,0
8036,15,16.0,1433.0,0.57,31.4,95,54.5,68,7,16.1,0.0,26.0,70,3
17805,19,79.0,2846.0,0.11,17.6,91,23.9,84,7,6.4,0.0,7.99999999999998,90,2
3244,16,73.0,2628.0,0.25,81.6,95,26.3,63,6,16.1,1.3,16.0,90,1
12265,15,94.0,2708.0,0.32,60.4,91,89.4,94,18,3.2,0.0,12.0,90,1
4683,16,73.0,2092.0,-0.25,25.5,95,26.3,61,6,16.1,1.3,17.0,70,0
12839,15,73.0,2637.0,0.34,59.2,94,89.0,97,18,3.2,0.0,0.999999999999988,70,0
13261,15,38.0,1397.0,0.28,14.5,93,23.1,96,18,3.2,8.0,17.0,60,1
13525,15,57.0,2728.0,-0.11,28.6,94,84.7,100,18,3.2,8.0,15.0,70,3
15162,16,82.0,2370.0,0.13,16.9,91,22.4,102,7,8.0,8.0,29.0,90,0
20301,20,105.0,3010.0,0.18,79.6,94,91.8,80,7,8.0,0.0,3.99999999999998,90,1
13931,16,63.0,2333.0,-0.11,16.5,94,22.4,102,7,8.0,24.0,29.0,60,1
5941,14,74.0,2131.0,-0.49,25.9,98,17.6,72,5,16.1,0.0,15.0,70,1
14737,16,117.0,3356.0,0.32,19.6,92,32.5,98,7,8.0,8.0,6.99999999999999,80,0
62,15,0.0,882.0,0.0,20.4,102,21.2,68,9,16.1,2.4,8.99999999999999,70,0
6804,14,0.0,903.0,0.0,22.0,103,22.7,67,5,16.1,0.0,60.0,70,2
10763,15,54.0,2678.0,-0.89,28.2,96,18.0,73,5,16.1,0.0,60.0,70,1
14995,16,121.0,3434.0,0.0,23.1,91,46.7,93,7,8.0,8.0,5.99999999999998,90,0
1944,15,91.0,2601.0,-0.42,63.5,95,26.3,69,6,16.1,0.299999999999998,3.99999999999998,50,0
10458,15,1.99999999999999,1055.0,-0.53,47.1,103,56.9,73,5,16.1,0.0,71.0,70,6
10745,15,50.0,2549.0,0.67,74.9,96,78.4,74,5,16.1,0.0,47.0,70,1
3277,16,58.0,2092.0,0.25,76.9,95,26.3,66,6,16.1,1.3,5.99999999999998,80,1
16445,16,0.0,644.0,0.0,12.9,94,29.4,83,7,8.0,8.0,12.0,70,2
3927,16,76.0,2179.0,-0.48,25.9,95,26.3,65,6,16.1,4.7,21.0,80,0
2491,16,56.0,2051.0,0.0,24.7,95,26.3,69,6,16.1,4.7,73.0,70,2
20090,20,96.0,3476.0,0.46,82.7,94,97.6,89,7,8.0,0.0,2.99999999999999,90,0
11631,16,0.0,888.0,0.0,22.0,102,24.3,70,6,16.1,0.0,12.0,70,2
4859,16,76.0,2198.0,-1.81,25.9,95,26.3,59,6,16.1,1.3,40.0,90,2
1470,15,69.0,2498.0,0.5,40.0,84,79.2,63,9,8.0,2.4,82.0,90,8
11494,16,17.0,1425.0,0.0,23.1,105,21.6,74,6,16.1,0.0,7.99999999999998,70,1
21585,19,68.0,2450.0,0.0,16.9,91,22.7,83,7,6.4,0.0,30.0,60,1
5000,16,108.0,3108.0,-0.5,28.6,95,26.3,64,6,16.1,4.7,16.0,90,1
2574,16,48.0,1739.0,-0.24,33.7,95,26.3,71,6,16.1,4.7,9.99999999999998,70,1
3070,16,62.0,1804.0,-0.81,24.7,95,26.3,66,6,16.1,1.3,23.0,90,1
9575,15,6.99999999999999,1116.0,-0.54,34.5,102,56.9,71,5,16.1,0.0,99.0,70,5
1492,15,63.0,3214.0,0.17,82.0,93,87.8,69,9,8.0,2.4,0.999999999999988,70,0
14014,16,70.0,2520.0,0.11,56.9,94,89.4,91,7,8.0,24.0,8.99999999999999,90,1
21067,20,109.0,3133.0,-0.24,18.4,95,24.3,81,7,8.0,0.0,20.0,70,0
22653,16,0.0,0.0,0.0,27.5,95,26.3,58,6,16.1,4.7,8.99999999999999,70,1
15142,16,81.0,2338.0,-0.12,16.5,93,21.6,96,7,8.0,8.0,24.0,90,0
10938,16,52.0,2662.0,-0.25,36.5,85,66.3,77,5,16.1,0.0,21.0,70,0
4106,16,0.0,907.0,0.0,22.4,95,26.3,68,6,16.1,4.7,22.0,80,1
527,15,66.0,2390.0,0.0,28.6,96,18.0,74,7,8.0,0.0,57.0,90,3
22359,16,16.0,1241.0,-0.51,22.0,105,17.3,74,6,16.1,0.0,7.99999999999998,70,1
2458,16,66.0,2388.0,-0.7,26.7,95,26.3,68,6,16.1,4.7,20.0,70,1
1652,15,68.0,2457.0,0.0,33.3,99,36.1,65,7,6.4,1.5,2.99999999999999,70,0
11829,15,16.0,1261.0,0.54,15.3,95,76.1,105,18,3.2,0.0,13.0,70,0
418,15,77.0,2795.0,0.15,82.0,95,82.4,65,7,8.0,0.0,23.0,90,1
1685,15,0.0,894.0,0.0,20.8,93,23.1,74,7,6.4,1.5,94.0,50,3
9215,15,49.0,2492.0,0.84,62.7,97,70.2,77,5,16.1,0.0,34.0,70,1
18896,19,90.0,3221.0,-0.41,18.4,90,24.7,84,7,6.4,0.0,71.0,70,3
3424,16,55.0,2005.0,0.25,43.9,95,26.3,68,6,16.1,4.7,49.0,90,1
3021,16,61.0,2185.0,0.24,82.0,95,26.3,68,6,16.1,1.3,6.99999999999999,90,0
21163,20,0.0,696.0,0.0,12.9,95,25.5,74,7,8.0,0.0,8.99999999999999,70,0
15889,16,84.0,2403.0,-0.41,16.9,91,22.7,101,7,8.0,24.0,17.0,90,1
20290,20,106.0,3042.0,-0.39,63.9,91,89.0,88,7,8.0,0.0,12.0,90,1
8616,15,49.0,2500.0,0.24,82.0,97,78.4,76,7,16.1,0.0,61.0,70,1
21259,16,80.0,2302.0,0.0799999999999998,53.7,92,91.4,101,7,8.0,24.0,21.0,60,1
19822,19,91.0,3292.0,0.23,22.0,94,59.2,83,7,5.6,9.6,22.0,90,0
12387,15,102.0,2884.0,0.13,18.0,93,24.7,96,18,3.2,8.0,5.99999999999998,90,0
6744,14,29.0,1457.0,-0.51,23.1,99,17.3,77,5,16.1,0.0,60.0,70,2
16272,16,1.99999999999999,909.0,0.14,14.1,93,45.9,96,7,8.0,8.0,8.99999999999999,70,1
11791,15,0.0,667.0,0.0,12.5,92,23.5,94,18,3.2,0.0,8.99999999999999,70,0
15204,16,66.0,1878.0,-0.32,58.0,93,89.4,97,7,8.0,8.0,15.0,50,1
6867,14,37.0,1367.0,-1.77,22.7,99,19.6,74,5,16.1,0.0,39.0,70,3
12022,15,91.0,2599.0,-0.12,85.5,94,92.2,106,18,3.2,0.0,18.0,70,0
16619,18,0.0,668.0,0.0,12.9,95,23.5,85,7,4.0,8.8,8.99999999999999,70,0
19294,19,92.0,2598.0,-0.55,17.3,93,23.9,84,7,6.4,4.8,11.0,70,0
22926,20,81.0,2970.0,0.23,18.0,94,24.3,80,18,8.0,0.0,48.0,90,2
18007,19,56.0,2025.0,-0.45,15.7,91,20.8,85,7,6.4,0.0,74.0,90,2
14138,16,55.0,2624.0,0.64,85.5,91,90.6,98,7,8.0,24.0,28.0,90,0
9658,15,31.0,2562.0,0.71,34.1,102,43.9,72,5,16.1,0.0,44.0,70,6
2224,15,96.0,2748.0,-0.27,46.7,95,26.3,66,9,8.0,2.4,21.0,80,0
11841,15,30.0,2202.0,0.35,21.2,96,28.2,106,18,3.2,0.0,8.99999999999999,70,0
3773,16,23.0,1934.0,0.49,81.6,95,26.3,64,6,16.1,4.7,47.0,50,2
2447,16,69.0,2491.0,0.26,26.7,95,26.3,67,6,16.1,4.7,8.99999999999999,70,1
13569,15,103.0,2948.0,-0.76,17.3,94,22.4,101,18,3.2,8.0,6.99999999999999,90,0
9074,15,0.999999999999997,895.0,-0.7,22.0,97,25.9,74,5,16.1,0.0,67.0,70,2
14910,16,62.0,2255.0,0.53,54.9,93,91.8,104,7,8.0,8.0,1.99999999999998,90,0
17844,19,82.0,2973.0,0.49,17.3,93,20.0,87,7,6.4,0.0,16.0,80,1
15563,16,62.0,2229.0,0.25,16.5,91,22.7,92,7,8.0,24.0,126.0,90,4
50,15,0.0,893.0,0.0,21.2,101,23.5,79,9,16.1,2.4,8.99999999999999,70,0
4572,16,88.0,3176.0,0.16,80.8,95,26.3,63,6,16.1,4.7,40.0,50,1
22930,20,87.0,2504.0,-0.71,17.3,91,24.3,79,18,8.0,0.0,85.0,70,11
16518,16,20.0,1536.0,0.87,38.4,94,86.3,96,7,8.0,8.0,12.0,70,2
16006,16,108.0,3058.0,0.11,18.4,91,24.3,92,7,8.0,8.0,18.0,70,0
6949,14,39.0,2002.0,0.48,68.6,96,69.8,72,5,16.1,0.0,57.0,70,5
13310,15,73.0,2625.0,0.26,17.3,91,22.7,102,18,3.2,8.0,3.99999999999998,50,0
12003,15,96.0,2744.0,-0.13,84.7,94,89.4,106,18,3.2,0.0,3.99999999999998,90,0
17107,19,70.0,2021.0,-1.02,15.7,94,23.5,83,7,6.4,4.8,15.0,90,0
20615,20,92.0,2643.0,-0.58,17.3,90,23.9,84,18,8.0,0.0,25.0,90,2
20947,20,103.0,2946.0,0.0,18.0,91,23.9,81,7,8.0,0.0,18.0,90,1
9471,15,17.0,1632.0,0.99,37.3,101,70.6,72,5,16.1,0.0,49.0,70,6
6774,14,0.0,897.0,0.0,22.0,101,23.5,67,5,16.1,0.0,60.0,70,2
10820,16,37.0,1849.0,-0.3,25.1,94,18.8,74,5,16.1,0.0,149.0,50,7
14289,16,20.0,1522.0,0.52,16.5,94,22.7,87,7,8.0,8.0,11.0,70,0
9607,15,0.0,1869.0,0.0,50.2,103,53.7,71,5,16.1,0.0,100.0,70,5
12202,15,54.0,2571.0,0.0999999999999999,58.0,94,83.9,101,18,3.2,0.0,248.0,70,8
21549,16,15.0,2292.0,-0.45,29.8,95,26.3,65,6,16.1,4.7,46.0,50,2
12066,15,88.0,2544.0,0.0,85.5,94,92.5,98,18,3.2,0.0,55.0,90,1
23143,15,93.0,2684.0,0.25,52.9,92,90.2,101,18,3.2,0.0,11.0,70,0
22003,16,44.0,2102.0,-0.3,16.1,90,22.0,98,7,8.0,24.0,239.0,80,15
7508,14,32.0,1633.0,0.7,82.0,99,78.4,72,5,9.7,0.0,72.0,70,4
22143,20,90.0,2559.0,-0.91,17.3,91,23.5,79,7,8.0,0.0,15.0,70,2
13637,15,82.0,2351.0,-0.11,58.8,95,91.4,84,18,3.2,0.0,4.99999999999999,90,0
21631,15,36.0,2688.0,0.11,18.4,94,29.0,107,18,3.2,8.0,83.0,90,9
3900,16,90.0,2606.0,0.44,81.6,95,26.3,73,6,16.1,4.7,3.99999999999998,90,0
22464,19,90.0,3260.0,0.17,78.0,93,98.0,84,7,6.4,4.8,11.0,80,0
19161,19,93.0,2670.0,0.23,85.1,94,90.6,81,7,6.4,4.8,6.99999999999999,90,0
9854,15,0.0,888.0,0.0,21.2,101,22.4,77,5,16.1,0.0,45.0,70,2
4035,16,84.0,2412.0,-0.2,26.7,95,26.3,65,6,16.1,4.7,6.99999999999999,90,0
19875,19,104.0,2985.0,0.47,85.1,91,90.6,89,7,5.6,9.6,17.0,80,1
4906,16,58.0,2946.0,0.27,28.2,95,26.3,63,6,16.1,1.3,241.0,80,15
3723,16,7.99999999999999,912.0,-0.82,22.0,95,26.3,64,6,16.1,4.7,47.0,70,2
4694,16,78.0,2308.0,0.25,35.7,95,26.3,63,6,16.1,1.3,14.0,80,0
22715,15,34.0,2619.0,0.68,20.0,94,30.2,104,18,3.2,8.0,83.0,90,9
11054,16,75.0,2714.0,-0.26,27.8,93,17.6,74,5,16.1,0.0,238.0,90,16
11505,16,6.99999999999999,1212.0,-0.39,22.0,105,42.4,74,6,16.1,0.0,8.99999999999999,70,1
233,15,88.0,3260.0,-0.53,43.1,90,27.8,65,9,16.1,2.4,15.0,90,0
21598,15,57.0,2065.0,-0.24,29.8,93,25.1,74,7,16.1,0.0,96.0,70,3
21687,16,75.0,2143.0,-0.48,51.8,95,26.3,65,6,16.1,4.7,9.99999999999998,90,0
16758,19,80.0,2916.0,0.0,69.0,92,91.0,87,7,5.6,9.6,15.0,90,0
10469,15,7.99999999999999,1231.0,-0.18,25.5,103,26.3,82,5,16.1,0.0,52.0,70,4
2937,16,80.0,2877.0,0.14,35.7,95,26.3,69,6,16.1,1.3,15.0,70,4
14398,16,2.99999999999999,997.0,-0.13,13.3,95,25.1,102,7,8.0,8.0,12.0,70,0
16971,19,85.0,2434.0,0.0,51.4,94,89.4,87,7,5.6,9.6,36.0,90,1
5877,14,79.0,2263.0,0.0,25.9,96,16.9,74,5,16.1,0.0,14.0,90,1
21978,14,38.0,1986.0,-1.25,25.5,96,19.2,74,5,16.1,0.0,33.0,50,2
9729,15,20.0,1722.0,-0.35,24.3,95,18.8,72,5,16.1,0.0,66.0,70,3
22804,14,87.0,2493.0,0.0,82.0,101,80.8,74,7,16.1,0.0,17.0,90,0
8935,15,47.0,1719.0,-0.0999999999999999,23.9,89,18.8,75,7,16.1,0.0,49.0,70,3
101,15,51.0,1852.0,0.24,27.8,105,41.6,72,9,16.1,2.4,11.0,70,0
18776,19,60.0,2884.0,0.0,18.0,92,24.7,92,7,6.4,0.0,16.0,80,1
1545,15,83.0,2387.0,0.0,26.7,80,17.6,68,6,16.1,0.299999999999998,8.99999999999999,80,1
16893,19,88.0,2435.0,0.0,32.5,94,39.6,88,7,5.6,9.6,5.99999999999998,90,0
7234,14,34.0,1747.0,-0.51,32.2,99,33.3,75,5,16.1,0.0,55.0,70,1
16934,19,82.0,3006.0,0.13,85.5,94,93.3,83,7,5.6,9.6,5.99999999999998,70,1
6457,14,36.0,1823.0,0.25,31.8,101,38.4,77,5,16.1,0.0,37.0,70,2
4695,16,79.0,2280.0,0.0,31.0,95,26.3,63,6,16.1,1.3,14.0,80,0
8695,15,0.0,905.0,0.0,21.6,92,22.7,65,7,16.1,0.0,30.0,70,0
9513,15,0.0,903.0,0.0,23.1,102,28.2,75,5,16.1,0.0,85.0,70,6
9585,15,10.0,934.0,-0.16,23.5,103,29.4,71,5,16.1,0.0,99.0,70,5
3748,16,0.0,921.0,0.0,21.2,95,26.3,65,6,16.1,4.7,47.0,50,2
12754,15,91.0,2574.0,0.46,16.9,92,22.7,105,7,8.0,0.0,6.99999999999999,60,0
20560,20,86.0,2459.0,-0.18,16.9,91,23.1,75,18,8.0,0.0,18.0,80,0
7591,15,21.0,1169.0,-1.83,29.8,98,31.0,76,5,16.1,0.0,30.0,70,1
10240,15,14.0,1269.0,-1.12,25.5,97,32.5,69,5,16.1,0.0,78.0,70,4
8217,15,44.0,2228.0,-0.49,26.3,99,18.4,78,7,16.1,0.0,39.0,70,1
19986,19,105.0,3042.0,-0.55,18.0,94,24.7,81,7,5.6,9.6,21.0,90,0
741,15,85.0,2446.0,-0.74,26.7,97,18.0,68,7,8.0,0.0,3.99999999999998,90,0
8197,15,47.0,2485.0,-0.36,27.1,100,18.4,77,7,16.1,0.0,54.0,70,0
7822,15,0.0,891.0,0.0,22.4,98,26.3,72,5,16.1,0.0,37.0,70,2
14678,16,78.0,2832.0,0.32,27.1,92,69.8,97,7,8.0,8.0,21.0,90,1
16513,16,0.0,661.0,0.0,12.9,94,25.9,96,7,8.0,8.0,11.0,70,2
16044,16,103.0,2926.0,0.0,18.0,91,23.5,93,7,8.0,8.0,12.0,90,0
18540,19,54.0,2564.0,0.54,76.1,96,91.4,84,7,6.4,0.0,6.99999999999999,70,0
6884,14,31.0,2588.0,0.34,27.5,100,31.4,78,5,16.1,0.0,46.0,70,3
14514,16,6.0,1029.0,-0.64,13.3,90,22.4,97,7,8.0,8.0,46.0,70,2
504,15,35.0,2850.0,0.98,82.0,94,79.6,69,7,8.0,0.0,18.0,90,0
1744,15,2.99999999999999,1628.0,0.23,34.5,95,26.3,73,9,16.1,2.4,8.99999999999999,70,0
1589,15,70.0,2520.0,0.17,82.0,83,82.7,68,6,16.1,0.299999999999998,2.99999999999999,50,0
3904,16,85.0,2449.0,-1.21,26.7,95,26.3,71,6,16.1,4.7,4.99999999999999,90,0
15808,16,34.0,1222.0,0.52,70.6,91,87.8,97,7,8.0,24.0,15.0,90,0
4767,16,85.0,2439.0,-0.27,26.7,95,26.3,63,6,16.1,1.3,13.0,90,1
4748,16,95.0,2713.0,0.0,27.5,95,26.3,62,6,16.1,1.3,5.99999999999998,80,1
21761,16,66.0,2377.0,0.39,31.8,94,90.2,102,7,8.0,24.0,27.0,60,1
9735,15,14.0,1383.0,0.61,53.7,96,74.9,71,5,16.1,0.0,66.0,70,3
10691,15,64.0,2313.0,0.17,81.6,98,78.0,71,5,16.1,0.0,3.99999999999998,70,0
10963,16,56.0,2844.0,0.25,82.0,88,78.8,76,5,16.1,0.0,15.0,90,0
21682,15,68.0,2458.0,-0.63,18.0,94,86.7,102,18,3.2,8.0,72.0,90,4
14773,16,108.0,3074.0,-0.11,19.6,91,44.3,94,7,8.0,8.0,6.99999999999999,90,0
19462,19,82.0,2950.0,0.0,36.5,92,89.4,80,7,6.4,4.8,52.0,90,2
17911,19,67.0,2448.0,-0.33,23.1,94,53.3,81,7,6.4,0.0,0.999999999999988,90,0
22275,16,72.0,2625.0,-1.01,27.5,95,26.3,68,6,16.1,4.7,20.0,70,1
16287,16,0.0,660.0,0.0,13.3,94,33.3,96,7,8.0,8.0,8.99999999999999,70,1
5151,16,97.0,2788.0,0.13,27.5,95,26.3,60,6,16.1,4.7,9.99999999999998,70,2
17560,19,73.0,2691.0,-1.38,17.3,94,23.5,85,7,6.4,0.0,15.0,70,1
10444,15,13.0,1110.0,-0.24,24.3,103,26.7,74,5,16.1,0.0,81.0,70,6
14478,16,12.0,953.0,0.11,14.5,98,40.4,101,7,8.0,8.0,40.0,50,1
2751,16,57.0,2062.0,-1.27,25.1,95,26.3,68,6,16.1,4.7,7.99999999999998,90,0
14596,16,72.0,2598.0,0.22,85.5,94,91.0,92,7,8.0,8.0,26.0,90,0
9531,15,10.0,1527.0,0.87,71.8,103,76.1,75,5,16.1,0.0,85.0,70,6
