Unnamed: 0,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,engine_load_value,heart_rate,current_weather,visibility,precipitation,accidents_onsite,design_speed,accidents_time
22011,15,86.0,3099.0,0.14,67.1,95,91.4,100,18,3.2,8.0,85.0,80,1
3773,16,23.0,1934.0,0.49,81.6,95,26.3,64,6,16.1,4.7,47.0,50,2
8574,15,18.0,1471.0,0.67,24.3,102,26.3,75,7,16.1,0.0,100.0,70,0
3401,16,57.0,2062.0,0.0,82.0,95,26.3,74,6,16.1,4.7,6.99999999999999,90,1
13234,15,55.0,1993.0,0.0,58.4,94,90.2,98,18,3.2,8.0,15.0,90,1
5297,16,0.0,910.0,0.0,21.6,95,26.3,58,6,16.1,4.7,11.0,70,2
10325,15,0.0,898.0,0.0,22.0,105,23.1,69,5,16.1,0.0,85.0,70,4
1072,15,56.0,2870.0,0.26,82.0,87,80.0,70,9,8.0,2.4,3.99999999999998,90,1
20680,20,84.0,2398.0,0.47,26.7,91,66.3,78,18,8.0,0.0,53.0,90,2
3103,16,75.0,2162.0,-0.28,80.0,95,26.3,66,6,16.1,1.3,11.0,90,0
6445,14,29.0,1472.0,-0.27,23.1,102,18.0,76,5,16.1,0.0,47.0,70,1
14102,16,85.0,2436.0,0.0,57.6,94,89.4,96,7,8.0,24.0,15.0,70,0
23140,15,78.0,2857.0,-0.52,17.6,94,20.0,111,18,3.2,8.0,7.99999999999998,70,3
20039,19,98.0,2822.0,-0.23,17.6,91,24.3,81,7,5.6,9.6,2.99999999999999,90,0
6240,14,42.0,2168.0,0.0,25.9,96,17.6,74,5,16.1,0.0,32.0,70,1
17563,19,70.0,2538.0,0.23,71.0,93,89.8,87,7,6.4,0.0,14.0,70,1
18168,19,91.0,2593.0,-0.92,29.4,94,55.3,81,35,8.0,0.0,6.99999999999999,90,0
14630,16,68.0,2505.0,-0.4,20.4,93,21.6,101,7,8.0,8.0,19.0,90,0
4244,16,0.0,909.0,0.0,22.0,95,26.3,66,6,16.1,4.7,20.0,90,1
7006,14,46.0,1685.0,-1.0,23.9,96,18.4,75,5,16.1,0.0,21.0,70,1
7310,14,0.0,0.0,0.0,27.5,101,0.0,78,5,16.1,0.0,29.0,70,2
6906,14,2.99999999999999,1537.0,0.5,35.3,100,69.8,71,5,16.1,0.0,57.0,70,3
21382,15,81.0,2279.0,-0.81,16.5,91,22.0,105,18,3.2,8.0,81.0,90,8
21694,16,65.0,2359.0,0.0,82.0,95,26.3,71,6,16.1,4.7,9.99999999999998,80,0
4358,16,92.0,2638.0,0.21,82.0,95,26.3,63,6,16.1,4.7,1.99999999999998,90,0
20714,20,85.0,2414.0,-0.76,16.9,91,22.7,80,18,8.0,0.0,21.0,90,1
15786,16,26.0,1937.0,1.02,51.0,91,89.0,104,7,8.0,24.0,27.0,80,2
18183,19,81.0,2924.0,-0.23,64.3,93,89.8,84,35,8.0,0.0,2.99999999999999,70,0
6887,14,20.0,1468.0,-1.53,23.1,100,17.3,81,5,16.1,0.0,51.0,70,3
971,15,62.0,2238.0,0.25,82.0,99,81.2,66,9,8.0,2.4,30.0,60,1
8667,15,0.0,911.0,0.0,21.6,88,23.1,71,7,16.1,0.0,30.0,70,0
16455,16,0.0,1362.0,0.0,14.5,94,72.9,83,7,8.0,8.0,12.0,70,2
12465,15,67.0,2406.0,0.0,54.5,94,90.2,104,18,3.2,8.0,30.0,60,1
18754,19,37.0,1812.0,0.0,15.3,93,22.4,85,7,6.4,0.0,16.0,60,1
16900,19,69.0,1998.0,-2.23,15.7,94,23.5,84,7,5.6,9.6,18.0,70,0
603,15,75.0,2168.0,0.0,32.9,82,45.1,63,7,8.0,0.0,13.0,90,1
6429,14,23.0,1894.0,0.5,34.9,105,54.9,75,5,16.1,0.0,74.0,70,1
6976,14,0.0,901.0,0.0,22.7,96,26.7,69,5,16.1,0.0,62.0,70,5
4739,16,92.0,2640.0,0.28,27.5,95,26.3,60,6,16.1,1.3,15.0,90,1
18638,19,106.0,3825.0,0.92,76.5,92,99.6,89,7,6.4,0.0,4.99999999999999,80,0
17327,19,105.0,3799.0,-0.22,19.2,91,25.5,87,7,6.4,4.8,0.999999999999988,90,0
20648,20,99.0,2834.0,0.26,62.4,93,89.8,78,18,8.0,0.0,18.0,60,0
10200,15,0.0,899.0,-0.95,23.1,90,27.8,70,5,16.1,0.0,74.0,70,4
15223,16,62.0,2264.0,-0.11,43.5,94,23.9,97,7,8.0,8.0,12.0,50,0
12505,15,76.0,2765.0,0.12,85.5,94,91.4,113,18,3.2,8.0,2.99999999999999,70,1
1397,15,60.0,3043.0,0.25,27.8,90,17.3,68,9,8.0,2.4,6.99999999999999,90,1
7321,14,0.0,908.0,0.0,24.7,103,34.1,71,5,16.1,0.0,29.0,70,2
107,15,55.0,1997.0,0.0,29.4,105,36.9,68,9,16.1,2.4,12.0,70,0
7392,14,15.0,1339.0,0.25,28.2,103,34.9,74,5,16.1,0.0,33.0,70,2
18826,19,70.0,2598.0,0.0,17.3,91,22.7,85,7,6.4,0.0,2.99999999999999,90,0
19329,19,67.0,2453.0,0.18,17.6,94,89.0,84,7,6.4,4.8,12.0,90,2
11333,16,6.0,900.0,-0.73,22.0,93,27.1,72,6,16.1,0.0,19.0,70,1
17809,19,86.0,3087.0,0.7,35.3,92,76.5,84,7,6.4,0.0,6.99999999999999,90,1
5166,16,105.0,3000.0,-0.25,28.2,95,26.3,65,6,16.1,4.7,41.0,90,0
7180,14,0.0,896.0,0.0,21.2,105,22.4,77,5,16.1,0.0,64.0,70,3
20201,20,112.0,3239.0,0.18,29.8,92,76.9,80,7,8.0,0.0,1.99999999999998,90,0
17792,19,84.0,3025.0,-0.23,18.0,91,24.3,84,7,6.4,0.0,7.99999999999998,70,2
17811,19,87.0,3176.0,-0.48,18.4,93,24.3,84,7,6.4,0.0,7.99999999999998,90,1
22458,16,70.0,2532.0,0.0,65.9,95,26.3,59,6,16.1,1.3,87.0,90,2
1571,15,90.0,2528.0,-0.27,31.4,79,32.5,66,6,16.1,0.299999999999998,4.99999999999999,90,0
21617,16,2.99999999999999,899.0,-0.5,22.4,93,25.1,72,6,16.1,0.0,19.0,70,1
704,15,77.0,2206.0,-0.24,26.3,95,18.8,65,7,8.0,0.0,3.99999999999998,80,0
10767,15,42.0,2154.0,-1.19,26.3,96,19.2,73,5,16.1,0.0,113.0,70,3
15622,16,58.0,2132.0,0.0,16.1,92,21.6,98,7,8.0,24.0,23.0,70,1
6477,14,7.99999999999999,941.0,-1.47,23.1,100,27.5,76,5,16.1,0.0,50.0,70,1
13720,15,85.0,2425.0,0.27,55.7,94,90.2,91,18,3.2,0.0,9.99999999999998,80,1
20622,20,88.0,2583.0,-0.54,17.3,91,23.1,83,18,8.0,0.0,26.0,70,3
16120,16,91.0,2604.0,0.0,17.3,91,22.7,93,7,8.0,8.0,7.99999999999998,90,0
5818,14,80.0,2300.0,0.0,82.0,90,80.0,75,5,16.1,0.0,46.0,90,0
11268,16,115.0,3309.0,-0.5,29.4,90,15.3,72,6,16.1,0.0,9.99999999999998,70,1
17368,19,91.0,2601.0,0.44,22.0,92,45.9,89,7,6.4,4.8,5.99999999999998,90,0
18053,19,63.0,2999.0,0.0,33.3,92,73.7,87,7,6.4,0.0,2.99999999999999,70,0
5570,14,85.0,3053.0,0.0,82.0,102,84.7,75,7,16.1,0.0,7.99999999999998,70,0
6961,14,0.0,908.0,0.0,23.1,96,28.2,68,5,16.1,0.0,62.0,70,5
19657,19,88.0,2583.0,-0.24,59.2,94,78.0,87,7,6.4,4.8,15.0,90,0
8722,15,67.0,2424.0,0.69,82.0,96,78.0,74,7,16.1,0.0,27.0,70,0
22266,16,60.0,2163.0,0.14,52.9,94,92.2,96,7,8.0,8.0,59.0,90,2
16204,16,12.0,919.0,0.11,14.5,93,35.3,92,7,8.0,8.0,25.0,70,1
17554,19,78.0,2831.0,-0.49,24.3,93,53.3,85,7,6.4,0.0,8.99999999999999,80,0
22881,16,114.0,3266.0,0.26,29.4,80,16.5,72,6,16.1,0.0,4.99999999999999,90,0
21424,19,75.0,2170.0,-0.81,16.1,94,25.1,81,7,6.4,4.8,9.99999999999998,70,0
13975,16,78.0,2803.0,0.0,62.0,94,89.4,93,7,8.0,24.0,22.0,70,1
12915,15,79.0,2294.0,0.41,16.1,91,27.1,104,18,3.2,0.0,2.99999999999999,70,0
23011,19,76.0,2763.0,0.0,72.5,92,89.8,85,7,6.4,0.0,7.99999999999998,60,1
10633,15,41.0,2054.0,0.47,82.0,101,78.0,69,5,16.1,0.0,58.0,70,1
6233,14,37.0,1949.0,0.24,30.6,96,26.7,74,5,16.1,0.0,22.0,70,1
10342,15,7.99999999999999,1377.0,1.53,49.4,105,69.0,69,5,16.1,0.0,85.0,70,4
3490,16,74.0,2124.0,0.0,82.0,95,26.3,67,6,16.1,4.7,54.0,50,2
1991,15,84.0,3022.0,-0.26,36.1,95,26.3,69,6,16.1,0.299999999999998,9.99999999999998,70,0
7999,15,0.0,900.0,0.0,21.6,91,23.5,77,7,16.1,0.0,26.0,70,3
1190,15,65.0,2338.0,0.0,25.9,88,16.9,61,9,8.0,2.4,7.99999999999998,70,2
9994,15,43.0,2156.0,0.9,82.0,95,72.5,68,5,16.1,0.0,39.0,70,3
4633,16,94.0,2697.0,0.0,36.5,95,26.3,63,6,16.1,4.7,7.99999999999998,70,1
11245,16,110.0,3141.0,0.0,28.6,90,15.3,74,6,16.1,0.0,4.99999999999999,90,0
16947,19,91.0,3287.0,0.19,70.2,94,94.9,83,7,5.6,9.6,13.0,90,1
15789,16,34.0,1676.0,0.66,16.9,91,87.5,106,7,8.0,24.0,26.0,80,2
13864,15,79.0,2247.0,-0.4,53.7,94,92.2,98,18,3.2,0.0,11.0,90,0
5608,14,93.0,2665.0,0.0,82.0,88,81.6,76,7,16.1,0.0,15.0,90,0
9032,15,73.0,2646.0,0.65,82.0,98,80.4,72,5,16.1,0.0,3.99999999999998,70,0
14009,16,68.0,2440.0,0.13,54.9,94,78.0,93,7,8.0,24.0,72.0,90,4
17511,19,81.0,2352.0,-1.19,16.5,90,22.0,89,7,6.4,4.8,90.0,50,4
13235,15,54.0,1969.0,-0.28,51.4,94,87.8,102,18,3.2,8.0,15.0,90,1
17125,19,40.0,1937.0,0.0,26.3,94,78.4,85,7,6.4,4.8,26.0,70,1
15630,16,55.0,2019.0,0.29,15.7,92,21.2,94,7,8.0,24.0,22.0,70,1
17758,19,68.0,3204.0,0.84,42.7,93,87.8,83,7,6.4,0.0,6.99999999999999,70,0
26,15,0.0,883.0,0.0,21.2,105,24.7,85,9,16.1,2.4,8.99999999999999,70,0
8057,15,54.0,1963.0,-0.74,25.5,96,19.2,75,7,16.1,0.0,20.0,70,2
2179,15,72.0,2576.0,0.24,27.5,95,26.3,69,9,16.1,2.4,8.99999999999999,70,0
563,15,75.0,2711.0,-0.51,27.8,87,18.0,73,7,8.0,0.0,8.99999999999999,90,0
13846,15,76.0,2193.0,0.0999999999999999,18.0,94,42.0,94,18,3.2,0.0,247.0,90,10
6957,14,16.0,1090.0,-1.97,24.7,96,30.2,68,5,16.1,0.0,62.0,70,5
14353,16,2.99999999999999,1006.0,-0.96,13.3,92,23.1,89,7,8.0,8.0,13.0,50,0
8710,15,41.0,3348.0,1.24,82.0,95,83.5,68,7,16.1,0.0,30.0,70,0
14905,16,50.0,2407.0,0.67,54.9,94,91.0,104,7,8.0,8.0,1.99999999999998,70,0
20509,20,84.0,2426.0,-0.45,16.9,91,23.1,87,18,8.0,0.0,87.0,70,11
16501,16,0.0,642.0,0.0,12.5,94,23.9,96,7,8.0,8.0,11.0,70,2
5172,16,96.0,2744.0,-0.26,27.8,95,26.3,64,6,16.1,4.7,8.99999999999999,70,1
2774,16,56.0,2040.0,-0.26,25.1,95,26.3,68,6,16.1,4.7,8.99999999999999,70,0
11857,15,69.0,2493.0,0.13,16.5,96,20.4,98,18,3.2,0.0,12.0,70,0
20511,20,84.0,2431.0,0.34,54.5,91,89.4,88,18,8.0,0.0,86.0,70,11
13214,15,87.0,2531.0,-0.99,16.5,94,22.0,92,18,3.2,8.0,4.99999999999999,90,0
22654,19,98.0,2808.0,0.25,17.3,91,22.7,85,35,8.0,0.0,4.99999999999999,60,0
16701,18,48.0,2301.0,0.24,23.1,97,58.0,94,7,4.0,8.8,11.0,70,0
8504,15,0.0,900.0,0.0,21.6,98,23.1,67,7,16.1,0.0,82.0,70,0
0,15,0.0,879.0,0.0,21.2,108,24.3,77,9,16.1,2.4,8.99999999999999,70,0
8091,15,0.0,903.0,0.0,22.0,93,24.3,66,7,16.1,0.0,20.0,70,0
8546,15,0.0,908.0,0.0,21.6,102,22.7,77,7,16.1,0.0,82.0,70,0
11047,16,74.0,2680.0,0.54,82.0,95,80.0,74,5,16.1,0.0,246.0,90,16
17009,19,85.0,2425.0,0.0,85.5,94,92.9,81,7,5.6,9.6,3.99999999999998,90,0
19382,19,94.0,3426.0,0.18,19.2,94,21.6,78,7,6.4,4.8,15.0,90,2
721,15,82.0,2359.0,0.23,26.7,96,18.4,69,7,8.0,0.0,2.99999999999999,90,1
18290,19,62.0,3009.0,0.67,62.4,94,78.0,81,18,3.2,8.8,7.99999999999998,60,1
18041,19,64.0,3076.0,0.0,25.9,93,63.5,85,7,6.4,0.0,82.0,90,3
18435,19,94.0,2703.0,-0.24,17.3,91,23.5,81,7,6.4,0.0,0.999999999999988,70,0
19038,19,67.0,3207.0,0.21,68.6,93,93.3,84,7,6.4,0.0,11.0,70,0
10427,15,2.99999999999999,1018.0,-0.71,23.1,102,25.1,74,5,16.1,0.0,95.0,70,8
5077,16,105.0,3004.0,0.14,28.2,95,26.3,69,6,16.1,4.7,6.99999999999999,70,0
14607,16,78.0,2785.0,-0.0799999999999998,22.4,93,88.2,93,7,8.0,8.0,29.0,90,0
16278,16,0.0,654.0,-0.11,13.3,94,27.8,96,7,8.0,8.0,8.99999999999999,70,1
18201,19,78.0,2811.0,0.16,85.5,94,91.8,79,35,8.0,0.0,4.99999999999999,70,0
295,15,82.0,2965.0,0.22,82.0,91,85.1,62,9,16.1,2.4,4.99999999999999,70,0
22706,14,17.0,1401.0,0.73,81.2,97,74.5,70,5,16.1,0.0,68.0,70,3
5776,14,81.0,2902.0,0.14,82.0,90,83.9,75,5,16.1,0.0,24.0,90,1
5842,14,80.0,2294.0,0.0,82.0,90,80.0,76,5,16.1,0.0,27.0,90,0
17202,19,69.0,2536.0,-0.7,16.9,91,23.9,81,7,6.4,4.8,6.99999999999999,80,1
7427,14,32.0,2614.0,0.68,36.1,100,51.4,77,5,16.1,0.0,29.0,70,0
15382,16,46.0,1349.0,0.26,14.1,92,22.4,94,7,8.0,24.0,16.0,70,0
18106,19,84.0,3008.0,0.18,18.0,94,23.5,85,35,8.0,0.0,0.999999999999988,70,0
2210,15,91.0,2626.0,0.0,27.8,95,26.3,65,9,8.0,2.4,2.99999999999999,80,0
17745,19,63.0,3034.0,0.2,17.3,95,24.3,89,7,6.4,0.0,14.0,60,1
6777,14,0.0,908.0,0.0,22.0,101,23.5,67,5,16.1,0.0,60.0,70,2
13457,15,36.0,1727.0,0.29,42.0,94,86.3,93,18,3.2,0.0,186.0,60,9
9637,15,41.0,2140.0,-0.23,26.3,103,19.2,72,5,16.1,0.0,35.0,70,2
2970,16,88.0,2530.0,0.26,58.4,95,26.3,60,6,16.1,1.3,17.0,70,1
2425,15,58.0,2102.0,0.25,25.5,95,26.3,66,9,8.0,2.4,3.99999999999998,70,1
6239,14,42.0,2148.0,0.0,25.9,96,18.0,71,5,16.1,0.0,32.0,70,1
3521,16,78.0,2262.0,-0.48,36.1,95,26.3,67,6,16.1,4.7,29.0,90,0
5291,16,5.0,894.0,-0.4,21.6,95,26.3,62,6,16.1,4.7,11.0,70,2
11563,16,1.99999999999999,893.0,-0.71,22.0,103,25.5,74,6,16.1,0.0,11.0,70,2
4520,16,80.0,2293.0,0.19,26.3,95,26.3,66,6,16.1,4.7,24.0,90,0
13819,15,92.0,2636.0,0.23,18.8,94,48.6,94,18,3.2,0.0,15.0,70,0
9585,15,10.0,934.0,-0.16,23.5,103,29.4,71,5,16.1,0.0,99.0,70,5
13300,15,76.0,2740.0,0.23,17.3,91,23.5,100,18,3.2,8.0,2.99999999999999,70,0
8573,15,17.0,1448.0,0.7,59.6,102,69.8,75,7,16.1,0.0,100.0,70,0
18620,19,82.0,2995.0,-0.24,18.0,91,24.3,80,7,6.4,0.0,0.999999999999988,90,0
10567,15,0.0,902.0,0.0,22.7,98,27.1,75,5,16.1,0.0,20.0,70,0
7437,14,12.0,967.0,-0.49,26.3,97,32.9,74,5,16.1,0.0,68.0,70,3
10983,16,45.0,2322.0,-0.25,41.6,90,64.7,78,5,16.1,0.0,27.0,70,0
12390,15,96.0,2670.0,-0.78,17.6,91,24.7,97,18,3.2,8.0,6.99999999999999,90,0
18521,19,43.0,3306.0,-0.24,39.6,94,85.1,81,7,6.4,0.0,8.99999999999999,90,0
6798,14,0.0,912.0,0.0,22.0,103,22.7,64,5,16.1,0.0,60.0,70,2
13233,15,55.0,1994.0,0.0,58.4,94,90.2,98,18,3.2,8.0,15.0,90,1
15142,16,81.0,2338.0,-0.12,16.5,93,21.6,96,7,8.0,8.0,24.0,90,0
17629,19,98.0,3533.0,0.78,18.8,94,25.1,81,7,6.4,0.0,27.0,70,2
18143,19,97.0,3405.0,0.23,18.8,91,24.3,85,35,8.0,0.0,5.99999999999998,60,0
480,15,78.0,2227.0,0.0,82.0,93,79.2,65,7,8.0,0.0,14.0,90,0
21618,15,79.0,2879.0,-0.14,20.8,94,43.5,117,18,3.2,8.0,8.99999999999999,70,3
4925,16,49.0,2464.0,1.19,82.0,95,26.3,62,6,16.1,1.3,29.0,80,2
17229,19,93.0,3357.0,-0.22,18.0,91,20.4,84,7,6.4,4.8,42.0,70,0
15156,16,82.0,2352.0,0.14,16.9,91,22.7,97,7,8.0,8.0,27.0,90,0
21912,15,77.0,2219.0,-0.93,25.9,80,18.0,69,6,16.1,0.299999999999998,7.99999999999998,80,1
15104,16,82.0,2358.0,-0.4,27.8,93,59.2,88,7,8.0,8.0,4.99999999999999,90,0
6549,14,42.0,2129.0,-0.73,26.3,99,18.0,75,5,16.1,0.0,69.0,70,5
5715,14,77.0,2763.0,-0.26,51.0,88,78.0,74,7,16.1,0.0,52.0,70,3
22940,19,90.0,3219.0,0.22,69.4,94,94.1,84,7,6.4,0.0,69.0,70,3
3472,16,77.0,2654.0,0.22,27.8,95,26.3,63,6,16.1,4.7,15.0,70,0
14728,16,99.0,2820.0,0.53,22.0,91,47.8,93,7,8.0,8.0,5.99999999999998,80,0
17683,19,74.0,2630.0,-0.35,83.9,94,91.0,85,7,6.4,0.0,2.99999999999999,90,0
2988,16,76.0,2202.0,-0.25,49.4,95,26.3,65,6,16.1,1.3,40.0,90,2
11157,16,105.0,3023.0,0.17,35.3,84,32.5,75,6,16.1,0.0,55.0,90,2
4976,16,104.0,2991.0,0.0,32.5,95,26.3,67,6,16.1,1.3,1.99999999999998,70,0
7548,15,22.0,1874.0,-0.47,38.4,101,69.0,79,5,16.1,0.0,32.0,70,1
10327,15,0.0,898.0,0.0,22.0,105,23.5,69,5,16.1,0.0,85.0,70,4
17320,19,94.0,3435.0,-0.5,38.8,94,27.8,87,7,6.4,4.8,4.99999999999999,90,0
3890,16,77.0,2727.0,0.0,31.0,95,26.3,67,6,16.1,4.7,5.99999999999998,90,0
18510,19,40.0,3114.0,0.24,31.8,93,76.5,84,7,6.4,0.0,3.99999999999998,90,0
7695,15,1.99999999999999,1883.0,0.0,58.0,104,73.7,71,5,16.1,0.0,48.0,70,1
21476,14,0.0,910.0,0.0,21.6,105,23.9,73,5,16.1,0.0,74.0,70,3
3678,16,27.0,970.0,-1.22,22.4,95,26.3,65,6,16.1,4.7,8.99999999999999,70,1
9227,15,21.0,1158.0,-1.28,27.8,96,26.3,76,5,16.1,0.0,37.0,70,0
7694,15,0.0,910.0,0.0,42.0,104,72.2,71,5,16.1,0.0,48.0,70,1
7378,14,0.999999999999997,904.0,-0.36,22.7,103,27.5,73,5,16.1,0.0,33.0,70,2
12893,15,67.0,2411.0,0.65,54.9,94,91.0,102,18,3.2,0.0,7.99999999999998,60,0
20278,20,116.0,3328.0,0.45,74.1,94,96.1,84,7,8.0,0.0,21.0,90,2
4621,16,83.0,2970.0,0.7,77.3,95,26.3,66,6,16.1,4.7,50.0,70,1
8175,15,31.0,1120.0,0.0,20.8,99,18.0,75,7,16.1,0.0,61.0,70,0
19496,19,93.0,3384.0,0.24,25.5,93,58.8,79,7,6.4,4.8,17.0,70,0
18473,19,56.0,2674.0,0.97,78.0,94,91.8,83,7,6.4,0.0,83.0,90,3
4345,16,81.0,2971.0,0.23,82.0,95,26.3,65,6,16.1,4.7,5.99999999999998,90,0
6090,14,94.0,2706.0,0.0,27.8,95,17.6,74,5,16.1,0.0,9.99999999999998,70,0
457,15,79.0,2262.0,0.0,82.0,94,80.0,59,7,8.0,0.0,46.0,90,2
2876,16,70.0,2032.0,0.0,82.0,95,26.3,67,6,16.1,1.3,0.999999999999988,90,0
22611,16,0.0,657.0,0.0,12.9,94,28.6,83,7,8.0,8.0,12.0,70,2
10056,15,34.0,1784.0,-0.5,29.8,99,33.3,75,5,16.1,0.0,98.0,70,5
5023,16,101.0,2895.0,-0.560000000000001,28.2,95,26.3,62,6,16.1,4.7,8.99999999999999,70,1
717,15,80.0,2297.0,-0.45,26.7,96,18.8,63,7,8.0,0.0,1.99999999999998,80,0
3293,16,71.0,2584.0,0.0,82.0,95,26.3,71,6,16.1,1.3,26.0,90,0
1709,15,0.0,905.0,0.0,21.2,95,26.3,74,7,6.4,1.5,94.0,50,3
13907,16,69.0,2517.0,-0.14,32.2,94,72.2,91,7,8.0,24.0,55.0,90,2
8033,15,6.99999999999999,1530.0,0.33,34.5,95,57.3,65,7,16.1,0.0,26.0,70,3
3485,16,73.0,2095.0,-0.17,25.5,95,26.3,66,6,16.1,4.7,46.0,70,2
3375,16,77.0,2792.0,0.0,78.8,95,26.3,65,6,16.1,1.3,27.0,90,3
10090,15,0.0,1539.0,0.0,27.1,101,71.8,81,5,16.1,0.0,50.0,70,2
10247,15,0.0,902.0,0.0,23.9,98,31.0,69,5,16.1,0.0,85.0,70,4
15494,16,37.0,1734.0,-0.76,15.3,91,23.1,102,7,8.0,24.0,18.0,80,0
7663,15,0.0,910.0,0.0,22.7,101,26.7,74,5,16.1,0.0,48.0,70,1
20488,20,93.0,2666.0,0.0,17.3,92,23.1,88,18,8.0,0.0,15.0,70,1
17977,19,75.0,2697.0,0.3,17.3,91,23.9,89,7,6.4,0.0,8.99999999999999,90,0
6886,14,26.0,1873.0,-1.21,25.1,100,18.0,81,5,16.1,0.0,51.0,70,3
13676,15,85.0,2414.0,0.27,55.3,94,90.6,113,18,3.2,0.0,2.99999999999999,80,0
